image_index,label,average_precision
2408,47,0.9938
2409,47,0.9885
2410,47,0.99973
2411,47,1.0
2412,47,0.99893
2413,47,1.0
2414,47,0.99742
2415,47,1.0
2416,47,0.88373
2417,47,1.0
2418,47,0.99492
2419,47,1.0
2420,47,1.0
2421,47,1.0
2422,47,1.0
2423,47,1.0
2424,47,0.9989
2425,47,0.99734
2426,47,1.0
2427,47,1.0
2428,47,1.0
2429,47,1.0
2430,47,0.98204
2431,47,0.99918
2432,47,0.91426
2433,48,0.56778
2434,48,0.69669
2435,48,0.74533
2436,48,0.82773
2437,48,0.48962
2438,48,0.48632
2439,48,0.83712
2440,48,0.43239
2441,48,0.4031
2442,48,0.37921
2443,48,0.62808
2444,48,0.48956
2445,48,0.78944
2446,48,0.78068
2447,48,0.61655
2448,48,0.54385
2449,48,0.60893
2450,48,0.3779
2451,48,0.47334
2452,48,0.44734
2453,48,0.73606
2454,48,0.67404
2455,48,0.775
2456,48,0.76127
2457,48,0.90769
2458,48,0.82609
2459,48,0.90252
2460,48,0.86932
2461,48,0.82477
2462,48,0.77579
2463,48,0.88562
2464,48,0.78031
2465,48,0.79859
2466,48,0.8872
2467,48,0.9006
2468,48,0.8202
2469,48,0.92246
2470,48,0.82311
2471,48,0.89347
2472,48,0.79473
2473,48,0.77461
2474,48,0.70461
2475,48,0.83362
2476,48,0.66611
2477,48,0.83082
2478,48,0.38183
2479,48,0.71121
2480,48,0.80641
2481,48,0.85922
2482,48,0.82812
2483,48,0.86894
2484,48,0.91867
2485,48,0.89536
2486,48,0.88776
2487,48,0.82613
2488,48,0.74977
2489,48,0.70658
2490,49,0.72537
2491,49,0.99797
2492,49,0.99861
2493,49,0.99376
2494,49,0.9952
2495,49,0.98739
2496,49,0.99929
2497,49,0.99183
2498,49,0.99471
2499,49,0.99349
2500,49,1.0
2501,49,1.0
2502,49,0.99353
2503,49,0.99107
2504,49,1.0
2505,49,0.98204
2506,49,1.0
2507,49,1.0
2508,49,0.99929
2509,49,0.99623
2510,49,1.0
2511,49,0.99282
2512,49,1.0
2513,49,0.99929
2514,49,0.97735
2515,49,1.0
2516,49,0.99425
2517,49,0.99929
2518,49,1.0
2519,49,0.99605
2520,49,0.99736
2521,49,0.99861
2522,49,0.99265
2523,49,0.99929
2524,49,0.99297
2525,49,0.9922
2526,49,0.99678
2527,49,0.94367
2528,50,0.87309
2529,50,0.81125
2530,50,0.77602
2531,50,0.87721
2532,50,0.80353
2533,50,0.80002
2534,50,0.90429
2535,50,0.85961
2536,50,0.86056
2537,50,0.68449
2538,50,0.89031
2539,50,0.62852
2540,50,0.78626
2541,50,0.79412
2542,50,0.86437
2543,50,0.87208
2544,50,0.79244
2545,50,0.66394
2546,50,0.80216
2547,50,0.84885
2548,50,0.2957
2549,50,0.91086
2550,50,0.82957
2551,50,0.72024
2552,50,0.868
2553,50,0.86626
2554,50,0.80963
2555,50,0.9122
2556,50,0.38375
2557,50,0.86254
2558,50,0.53917
2559,50,0.78519
2560,50,0.64788
2561,50,0.77867
2562,50,0.86704
2563,50,0.61382
2564,50,0.82021
2565,50,0.8085
2566,50,0.79883
2567,50,0.67712
2568,50,0.81815
2569,50,0.72265
2570,50,0.85688
2571,50,0.90897
2572,50,0.9087
2573,50,0.9041
2574,50,0.85633
2575,50,0.88838
2576,50,0.82543
2577,50,0.87893
2578,50,0.87108
2579,50,0.87241
2580,50,0.83637
2581,50,0.89146
2582,50,0.87981
2583,50,0.88609
2584,50,0.88131
2585,50,0.85923
2586,50,0.89423
2587,50,0.89357
2588,50,0.71437
2589,50,0.84439
2590,50,0.8178
2591,50,0.7139
2592,50,0.86412
2593,50,0.78626
2594,50,0.87956
2595,50,0.88161
2596,50,0.88179
2597,50,0.86141
2598,50,0.76548
2599,50,0.75551
2600,50,0.8355
2601,51,0.628
2602,51,0.85493
2603,51,0.75331
2604,51,0.76745
2605,51,0.87598
2606,51,0.82888
2607,51,0.6708
2608,51,0.87481
2609,51,0.92466
2610,51,0.76254
2611,51,0.72163
2612,51,0.75981
2613,51,0.53086
2614,51,0.70958
2615,51,0.66731
2616,51,0.71728
2617,51,0.75174
2618,51,0.82159
2619,51,0.81258
2620,51,0.54992
2621,51,0.71761
2622,51,0.52313
2623,51,0.57548
2624,51,0.59818
2625,51,0.55663
2626,51,0.71128
2627,51,0.42646
2628,51,0.79506
2629,51,0.68161
2630,51,0.65295
2631,51,0.67549
2632,51,0.57517
2633,51,0.60051
2634,51,0.48683
2635,51,0.66798
2636,51,0.70539
2637,51,0.55718
2638,51,0.80854
2639,51,0.68777
2640,51,0.67707
2641,51,0.8938
2642,51,0.90406
2643,51,0.59653
2644,51,0.95169
2645,51,0.60952
2646,51,0.56419
2647,51,0.77405
2648,51,0.7889
2649,51,0.703
2650,51,0.68659
2651,51,0.66664
2652,51,0.48029
2653,51,0.92675
2654,51,0.73214
2655,51,0.76647
2656,51,0.85191
2657,51,0.73443
2658,51,0.70311
2659,51,0.87179
2660,51,0.91604
2661,51,0.84957
2662,51,0.59788
2663,51,0.77775
2664,51,0.84705
2665,51,0.66957
2666,51,0.81232
2667,51,0.60029
2668,51,0.72334
2669,51,0.8665
2670,51,0.81929
2671,51,0.92772
2672,51,0.89698
2673,51,0.78002
2674,51,0.74697
2675,51,0.86329
2676,51,0.8957
2677,51,0.74016
2678,51,0.90947
2679,51,0.79459
2680,51,0.7818
2681,51,0.92566
2682,51,0.81206
2683,51,0.82246
2684,51,0.72301
