image_index,label,recall@1,recall@5,recall@10,recall@20
1923,41,0.01042,0.05208,0.10417,0.20833
1924,41,0.01042,0.05208,0.10417,0.20833
1925,41,0.01042,0.05208,0.10417,0.19792
1926,41,0.01042,0.05208,0.10417,0.19792
1927,41,0.01042,0.05208,0.10417,0.19792
1928,41,0.01042,0.05208,0.10417,0.20833
1929,41,0.01042,0.05208,0.10417,0.20833
1930,41,0.01042,0.05208,0.10417,0.19792
1931,41,0.01042,0.05208,0.10417,0.20833
1932,41,0.01042,0.05208,0.10417,0.20833
1933,41,0.01042,0.05208,0.10417,0.20833
1934,41,0.01042,0.05208,0.10417,0.20833
1935,41,0.01042,0.05208,0.10417,0.20833
1936,41,0.01042,0.05208,0.10417,0.20833
1937,41,0.0,0.0,0.0,0.0
1938,41,0.01042,0.05208,0.10417,0.20833
1939,41,0.01042,0.05208,0.10417,0.20833
1940,41,0.01042,0.05208,0.10417,0.20833
1941,41,0.01042,0.05208,0.10417,0.20833
1942,41,0.01042,0.05208,0.10417,0.20833
1943,41,0.01042,0.05208,0.10417,0.19792
1944,41,0.01042,0.05208,0.10417,0.19792
1945,41,0.01042,0.05208,0.10417,0.20833
1946,41,0.01042,0.05208,0.10417,0.19792
1947,41,0.01042,0.05208,0.10417,0.20833
1948,41,0.01042,0.05208,0.10417,0.20833
1949,41,0.01042,0.05208,0.10417,0.20833
1950,41,0.01042,0.05208,0.10417,0.20833
1951,41,0.01042,0.04167,0.09375,0.1875
1952,41,0.01042,0.05208,0.10417,0.20833
1953,41,0.01042,0.05208,0.10417,0.20833
1954,41,0.01042,0.05208,0.10417,0.19792
1955,41,0.01042,0.05208,0.10417,0.20833
1956,41,0.01042,0.05208,0.10417,0.19792
1957,41,0.01042,0.05208,0.10417,0.20833
1958,41,0.01042,0.05208,0.10417,0.20833
1959,41,0.01042,0.05208,0.10417,0.20833
1960,42,0.0,0.0,0.0,0.02083
1961,42,0.02083,0.10417,0.20833,0.41667
1962,42,0.02083,0.10417,0.20833,0.41667
1963,42,0.02083,0.10417,0.20833,0.41667
1964,42,0.02083,0.10417,0.20833,0.41667
1965,42,0.02083,0.10417,0.20833,0.41667
1966,42,0.02083,0.10417,0.20833,0.41667
1967,42,0.02083,0.10417,0.20833,0.41667
1968,42,0.02083,0.10417,0.20833,0.41667
1969,42,0.02083,0.10417,0.20833,0.41667
1970,42,0.02083,0.10417,0.20833,0.41667
1971,42,0.02083,0.10417,0.20833,0.41667
1972,42,0.02083,0.10417,0.20833,0.41667
1973,42,0.02083,0.10417,0.20833,0.41667
1974,42,0.02083,0.10417,0.20833,0.41667
1975,42,0.02083,0.10417,0.20833,0.41667
1976,42,0.02083,0.10417,0.20833,0.41667
1977,42,0.02083,0.10417,0.20833,0.41667
1978,42,0.02083,0.10417,0.20833,0.41667
1979,42,0.02083,0.10417,0.20833,0.41667
1980,42,0.02083,0.10417,0.20833,0.41667
1981,42,0.02083,0.10417,0.20833,0.41667
1982,42,0.02083,0.10417,0.20833,0.41667
1983,42,0.02083,0.10417,0.20833,0.41667
1984,42,0.02083,0.10417,0.20833,0.41667
1985,42,0.02083,0.10417,0.20833,0.41667
1986,42,0.02083,0.10417,0.20833,0.41667
1987,42,0.02083,0.10417,0.20833,0.41667
1988,42,0.02083,0.10417,0.20833,0.41667
1989,42,0.02083,0.10417,0.20833,0.41667
1990,42,0.02083,0.10417,0.20833,0.41667
1991,42,0.02083,0.10417,0.20833,0.41667
1992,42,0.02083,0.10417,0.20833,0.41667
